#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25593.74631993001,293.7651923199688,0
200,-25691.163067883575,298.5775228851364,14.4
300,-25466.27541101003,300.57553995151744,14.7
400,-25808.052616594563,307.5743402114519,14.4
500,-25801.461340575046,308.8627378247634,14.3
600,-25570.9252455104,296.3423954570677,14.5
700,-25759.615103751465,314.3396371980048,14.8
800,-25762.200437082305,295.3833727092378,15
900,-25896.09175317053,300.59958911510995,15.2
1000,-25926.082451778548,301.46037618757805,15.4
1100,-25891.00085016155,303.8548915005194,15.6
1200,-25781.77559724563,296.46305475808725,15.8
1300,-25665.02960356463,293.4211475763027,15.9
1400,-25520.00485979304,310.77984906475155,16.1
1500,-25664.271759571842,296.58327085541896,16.2
1600,-25721.390087254684,298.41411292513015,16.3
1700,-25944.96494623229,298.0833958433114,16.4
1800,-25875.909785403688,299.62806694147207,16.4
1900,-25790.212396917286,306.8737259964687,16.5
2000,-25636.70329119495,305.5948938450361,16.5
