#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-17.43235348617088,255.75911289560966,0
200,-12.346729502624559,194.45504884876223,33.4
300,-19.54791857547692,411.6588264856232,36.3
400,-9.06089646799309,308.4651242548129,38
500,-2.268631986869231,380.99210868856034,38.9
600,41.21187160159559,296.38808792301523,39.2
700,11.203519740831503,255.3963175367704,39.1
800,34.164207281948194,893.4013226880855,39.7
900,66.43863253889859,291.0850331606515,40.3
1000,66.4155735350734,282.46220904656246,40.7
1100,75.46285528716032,349.7516190857068,41
1200,60.75955021557601,227.11989876968647,41
1300,54.48356346072991,224.50151378451028,41.2
1400,51.61851147093682,272.0926328590564,41.1
1500,68.77481578447382,289.72518166501555,41
