#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25618.750538482065,289.8376150867681,0
200,-25577.231337003363,302.76110225502504,15
300,-25531.6190500129,298.7976456558705,14.4
400,-25600.55046882171,305.50803101067135,14.5
500,-25611.45574399471,301.86562818715896,14.6
600,-25834.622258625444,289.13221116218995,14.4
700,-25709.278978904644,291.2172335603633,14
800,-25995.52969169046,313.44611242541816,14
900,-25671.604195501055,288.0042167534966,14
1000,-25778.922880052316,307.42217565262223,14.1
1100,-25617.085023141393,307.6564898980857,13.9
1200,-25626.005577630087,302.5541100759291,13.9
1300,-25715.64873885873,313.4920154146871,13.9
1400,-25748.958233475314,307.77212871785076,13.4
1500,-25735.522634868114,313.06108352300345,13
1600,-26002.49552987341,295.77438815300275,12.9
1700,-25949.17082329415,298.6485016083308,12.9
1800,-26127.474602948216,307.2853422176256,12.9
1900,-25965.33152793294,305.3052224799911,12.9
2000,-25917.44053266151,296.883066015696,12.9
