#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,283.9382561984163,967.5711231376575,0
200,235.09735040587273,345.99697588990836,51.7
300,172.88054165134346,389.81151443322017,49.4
400,117.69204982647032,274.6591529890081,49.7
500,117.09125530809268,270.4886831856827,50.7
600,100.08500289699725,330.501588484155,51.1
700,57.59311849656463,374.4212176972557,51.6
800,82.80377821670963,375.530988573053,51.9
900,67.49476704797218,237.02441345203505,51.9
1000,42.38206812225992,420.05960318571675,52.1
1100,55.98713529041342,214.759054122996,52.4
1200,44.21670494383525,347.7619243536279,52.6
1300,66.92628684025532,299.84364994671085,52.7
1400,38.46901699922834,207.27060330173538,52.8
1500,31.684807266974914,220.92681673640564,53
