#"Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
100,-25805.06662026342,296.6693667379809,0
200,-25519.764186724035,295.3035741846545,27.3
300,-25866.282653735707,297.73830407312374,28.4
400,-25466.70649359437,288.5858636168729,28.5
500,-25493.204318456665,305.59921528865704,28.1
600,-26018.9717122995,304.67430957803117,28.1
700,-25886.52895825073,304.43456030957145,27.6
800,-26037.339624981647,307.0080763161638,27.5
900,-26074.537941493323,290.73985237252407,27.5
1000,-25929.72012863914,296.64095875380275,27.5
1100,-25765.863751638673,304.03656003283913,27.6
1200,-25800.846452040256,294.32693251953475,27.6
1300,-25793.2652985053,300.77297662172225,27.6
1400,-25771.638337284498,300.67559136703983,27.7
1500,-26018.10526512129,306.9681932386189,27.6
1600,-25889.934397221492,293.74386879152206,27.5
1700,-25876.917885398176,297.0325635943647,27.5
1800,-25620.98556197019,296.5717023816577,27.4
1900,-25995.912688878525,308.492503059875,27.5
2000,-25895.997282163586,309.3153868766727,27.4
2100,-26410.44097916147,304.37529633280434,27.4
2200,-26215.562030227593,301.9703679486525,27.5
2300,-26346.219114241867,294.53424850324853,27.6
2400,-25981.420283072384,300.380426549439,27.6
2500,-26077.151945914393,296.49818218975406,27.5
2600,-25803.46377255363,292.73154091118664,27.5
2700,-26431.87949151678,330.4919507797289,27.5
2800,-26150.561198489013,297.18051748373176,27.6
2900,-26071.76852651186,299.0960508780356,27.6
3000,-26001.127857123323,300.9652536371608,27.6
3100,-26066.937769475775,308.6527717022524,27.6
3200,-25986.896633047374,301.5159065319185,27.6
3300,-26253.461957039617,310.1700438862942,27.7
3400,-26144.48987187055,303.1626142008935,27.7
3500,-26122.860573587543,299.7393234306245,27.7
3600,-26179.34938668778,300.1915354812714,27.7
3700,-25812.750278965268,308.7322912157598,27.7
3800,-26005.229722255008,301.1847212135141,27.7
3900,-26169.384111605006,304.1642805845313,27.7
4000,-26171.582539608633,302.8390438502763,27.7
4100,-25745.676717955877,310.189398412672,27.7
4200,-25663.205566387147,307.51305394870644,27.7
4300,-25536.95280013215,303.9249238265824,27.7
4400,-25652.20217304872,309.17930927490295,27.7
4500,-25556.66527391904,294.59694292612875,27.8
4600,-25698.651096640613,305.0878833264669,27.8
4700,-25943.498869740353,305.7679399592585,27.8
4800,-25902.862710447316,310.86147105749944,27.8
4900,-25880.12843007631,286.6717078710537,27.8
5000,-26280.644882584824,297.68756151200995,27.8
5100,-25702.12391752721,308.8311974815132,27.8
5200,-26149.709454446853,298.84817743201154,27.8
5300,-26011.072336512036,291.7522668946676,27.9
5400,-25939.913395983036,307.0791996339099,27.9
5500,-25772.785716189726,301.57567189948145,27.9
5600,-25972.633180208126,299.02705167309745,27.9
5700,-25951.000655357853,290.55827531337405,27.9
5800,-26141.52672257107,301.0185907730687,27.9
5900,-25853.561559357684,289.92312218022846,27.9
6000,-25996.61576768309,305.31856606612524,27.9
6100,-25980.19929813911,297.29288326200816,27.9
6200,-25899.502886626247,298.79699479087964,27.9
6300,-26054.119620292353,310.1010588644076,27.9
6400,-25855.738734162667,296.3006377644853,27.9
6500,-25983.026760037534,311.96650022085856,27.9
6600,-25723.541157973534,304.25415788923283,27.9
6700,-25919.819895528402,309.3942781936092,27.9
6800,-25978.96050412182,315.13907297119704,27.9
6900,-26101.08729668078,304.22079171442624,27.9
7000,-25987.525777145027,294.62752516281813,27.9
7100,-25791.57043167496,307.7969218167777,27.9
7200,-25865.730375451047,304.5575845696229,27.9
7300,-26175.198446637303,305.74658002433944,27.9
7400,-25868.431497292677,292.16458740316784,27.9
7500,-25875.782614777607,298.86911363726665,27.9
7600,-25907.72102552499,315.21444081729396,27.9
7700,-26035.066109897416,303.0841690358875,27.9
7800,-25884.575203445438,297.3388993101667,27.9
7900,-25892.683254593005,304.8491786790858,27.9
8000,-25926.935727388063,297.8324750335616,28
8100,-25764.564328894463,298.14610441068726,28
8200,-25849.90334226461,308.3453209500367,28
8300,-25778.9751224766,296.8449917739513,28
8400,-25960.701132496535,308.92626244380443,28
8500,-25808.067631626232,316.853391914196,28
8600,-25862.611830076705,291.214894486527,28
8700,-26153.430749779305,295.603440254117,27.9
8800,-26203.17813314992,288.90036814204365,27.9
8900,-26197.00635545437,285.5399759923145,27.9
9000,-26229.905062597474,293.6760247958671,27.9
9100,-26105.72281135117,305.19735947716833,27.9
9200,-25933.195478894326,298.5168793183769,27.9
9300,-25934.817332430972,303.51152909217,27.9
9400,-25764.718289525343,305.4908201405012,27.9
9500,-25924.93908865453,305.8913107068476,27.9
9600,-25654.924322613926,310.56391864449574,27.9
9700,-25798.318177409634,297.9316033886666,27.9
9800,-25705.565102398527,307.13610659092103,27.9
9900,-25871.52448164107,303.41018539808596,27.9
10000,-25806.334264535584,309.7886797092674,27.8
10100,-25541.044406003395,307.1937285377915,27.9
10200,-25999.270432859306,306.04144842062647,27.8
10300,-25957.369695487134,289.13156543645204,27.8
10400,-26144.106438219707,314.83478845628747,27.8
