nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),uncertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),uncertesa experimental (kcal/mol)
methyl hexanoate,mobley_1017962,-2.49,0.03,-2.49,0.60
butan-1-ol,mobley_1019269,-4.72,0.02,-4.72,0.60
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",mobley_1034539,-3.04,0.04,-3.04,0.10
cyclohexanamine,mobley_1036761,-4.59,0.02,-4.59,0.60
phenyl formate,mobley_1046331,-3.82,0.02,-3.82,0.60
methyl propanoate,mobley_1075836,-2.93,0.02,-2.93,0.60
"1,3-dichlorobenzene",mobley_1079207,-0.98,0.02,-0.98,0.60
iodoethane,mobley_1107178,-0.74,0.02,-0.74,0.60
"2,2,4-trimethylpentane",mobley_1139153,2.89,0.03,2.89,0.60
ethoxyethane,mobley_1144156,-1.59,0.02,-1.59,0.60
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",mobley_1160109,-3.75,0.02,-3.75,0.21
2-chlorophenol,mobley_1178614,-4.55,0.03,-4.55,0.60
methylsulfanylbenzene,mobley_1189457,-2.73,0.02,-2.73,0.60
1-iodopropane,mobley_1199854,-0.53,0.02,-0.53,0.60 
2-chloropropane,mobley_1231151,-0.25,0.02,-0.25,0.60
1-nitropentane,mobley_1235151,-2.82,0.02,-2.82,0.60
cycloheptanol,mobley_1244778,-5.48,0.05,-5.48,0.60
neopentane,mobley_1261349,2.51,0.02,2.51,0.60
hexachloroethane,mobley_1278715,-0.64,0.04,-0.64,0.10
1-butoxybutane,mobley_129464,-0.83,0.03,-0.83,0.60
triethylphosphate,mobley_1323538,-7.50,0.10,-7.50,0.20
"1,1,2-trichloroethane",mobley_1328465,-1.99,0.03,-1.99,0.60
methyl 4-nitrobenzoate,mobley_1328936,-6.88,0.03,-6.88,0.60
pebulate,mobley_1352110,-3.64,0.04,-3.64,1.93
"3,5-dimethylpyridine",mobley_1363784,-4.84,0.02,-4.84,0.60
pentachloronitrobenzene,mobley_1396156,-5.22,0.05,-5.22,0.25
captan,mobley_1417007,-9.01,0.04,-9.01,1.93
m-xylene,mobley_1424265,-0.83,0.02,-0.83,0.60
