nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol)
methyl hexanoate,mobley_1017962,-2.49,0.03,-2.49,0.60,-24.41179047107667,14.095901811462232
butan-1-ol,mobley_1019269,-4.72,0.02,-4.72,0.60,-4.055773224494962,0.36200610934088073
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",mobley_1034539,-3.04,0.04,-3.04,0.10,-15.371831667288363,0.9689665154456999
cyclohexanamine,mobley_1036761,-4.59,0.02,-4.59,0.60,-9.895265416546124,0.38707599599860315
phenyl formate,mobley_1046331,-3.82,0.02,-3.82,0.60,-8.988550676454377,0.41242986413029975
methyl propanoate,mobley_1075836,-2.93,0.02,-2.93,0.60,-18.91904551579713,0.38988698050093
"1,3-dichlorobenzene",mobley_1079207,-0.98,0.02,-0.98,0.60,-2.3657962132345514,0.324456458041825
iodoethane,mobley_1107178,-0.74,0.02,-0.74,0.60,-0.9728683880225427,0.2907588574647997
"2,2,4-trimethylpentane",mobley_1139153,2.89,0.03,2.89,0.60,2.4953084164353028,0.32249380563660685
ethoxyethane,mobley_1144156,-1.59,0.02,-1.59,0.60,-1.0025052123593876,0.26033693512683853
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",mobley_1160109,-3.75,0.02,-3.75,0.21,-20.125208430834583,0.42198469945438744
2-chlorophenol,mobley_1178614,-4.55,0.03,-4.55,0.60,-11.6406464915269,0.4167021515003546
methylsulfanylbenzene,mobley_1189457,-2.73,0.02,-2.73,0.60,-7.8986735053374835,0.31717928157137115
1-iodopropane,mobley_1199854,-0.53,0.02,-0.53,0.60 ,0.2716514848127966,0.28730325610067536
2-chloropropane,mobley_1231151,-0.25,0.02,-0.25,0.60,1.843421493456826,0.2638054942692382
1-nitropentane,mobley_1235151,-2.82,0.02,-2.82,0.60,-6.281277380254699,0.28576330670999067
