nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol),metode 2 (kcal/mol),incertesa metode 2 (kcal/mol)
methyl hexanoate,mobley_1017962,-2.49,0.03,-2.49,0.60,-17.547244413205494,0.459111189332025,-13.844555776228841,0.485880588867333
butan-1-ol,mobley_1019269,-4.72,0.02,-4.72,0.60,-3.2983930311994087,0.3131494833837666,-0.1520063925279178,0.3910246671916019
"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",mobley_1034539,-3.04,0.04,-3.04,0.10,-13.926383615108566,0.5525714516693245,-7.053006820624189,0.5177790689085068
cyclohexanamine,mobley_1036761,-4.59,0.02,-4.59,0.60,-7.495211403712456,0.43012763260749404,-4.4299992576724865,0.40311238889953127
phenyl formate,mobley_1046331,-3.82,0.02,-3.82,0.60,-7.364543726109513,0.3998922322543617,-16.225215952510425,0.403344395046085
methyl propanoate,mobley_1075836,-2.93,0.02,-2.93,0.60,-20.993244123650165,0.3195601900204791,-9.693645135186177,0.3839960380204696
"1,3-dichlorobenzene",mobley_1079207,-0.98,0.02,-0.98,0.60,0.04654560172522615,0.2821606577374643,0.14673665629801302,0.35816890812217433
iodoethane,mobley_1107178,-0.74,0.02,-0.74,0.60,-0.6552805237374144,0.26449708161806146,1.5775954908867764,0.35418499968968065
ethoxyethane,mobley_1144156,-1.59,0.02,-1.59,0.60,0.026205501860188773,0.2956434594639675,0.8962306518323917,0.35245465736828513
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",mobley_1160109,-3.75,0.02,-3.75,0.21,-18.357107992741216,0.4879688111381777,-13.360132171527995,0.42233353787164474
2-chlorophenol,mobley_1178614,-4.55,0.03,-4.55,0.60,-13.490853354701843,0.35520670490571116,-6.7277237784868245,0.5673791318352138
methylsulfanylbenzene,mobley_1189457,-2.73,0.02,-2.73,0.60,-7.958927030034821,0.3461894879689085,-4.416405613907601,0.33131494703286374
1-iodopropane,mobley_1199854,-0.53,0.02,-0.53,0.60 ,-2.3304800105454437,0.25254371539828124,0.5069378973617211,0.3261402143564722
2-chloropropane,mobley_1231151,-0.25,0.02,-0.25,0.60,0.9898108175406117,0.28529562890745985,2.2798565480024116,0.33267495977721834
1-nitropentane,mobley_1235151,-2.82,0.02,-2.82,0.60,-6.063050697789814,0.37254321074527935,-1.7501991692939238,0.3467328472842604
cycloheptanol,mobley_1244778,-5.48,0.05,-5.48,0.60,-3.2372999838708933,0.4389732358541958,-2.79147895465497,0.43611510012260485
neopentane,mobley_1261349,2.51,0.02,2.51,0.60,7.6290050960315785,0.2812133528188709,4.401900150086004,0.29138399578281404
hexachloroethane,mobley_1278715,-0.64,0.04,-0.64,0.10,-1.3133688666109182,0.29532604907239207,1.8174599290479418,0.2982961560154037
1-butoxybutane,mobley_129464,-0.83,0.03,-0.83,0.60,-2.7113440670734628,0.3804820306215858,2.4541804785153167,0.4034331756704078
"1,1,2-trichloroethane",mobley_1328465,-1.99,0.03,-1.99,0.60,-0.5172924135264504,0.292673093359351,2.0045993465852288,0.2853289547759606
methyl 4-nitrobenzoate,mobley_1328936,-6.88,0.03,-6.88,0.60,-52.62092090733826,0.6458807841220392,-35.074172330897554,0.5238314238403621
pebulate,mobley_1352110,-3.64,0.04,-3.64,1.93,-36.16663848493123,0.5692076119262959,-27.201402936435713,0.6088506045674601
"3,5-dimethylpyridine",mobley_1363784,-4.84,0.02,-4.84,0.60,-20.416487363978803,0.3751236290402886,-6.068312501644405,0.36018034982948566
pentachloronitrobenzene,mobley_1396156,-5.22,0.05,-5.22,0.25,-8.979086969004339,0.4191656602348035,-7.065610672610385,0.46894736284350436
captan,mobley_1417007,-9.01,0.04,-9.01,1.93,-20.82678214924355,0.5160388088925734,-14.727524086488797,0.5983300871107311
m-xylene,mobley_1424265,-0.83,0.02,-0.83,0.60,0.3261231344219828,0.3230438707460297,0.0949519293847998,0.42751196976158595
1-isopropyl-4-methyl-benzene,mobley_1449384,-0.68,0.03,-0.68,0.60,-5.424188885869853,0.36451249817831355,-6.166611582540616,0.5412980579726764
"2,3-dichlorodibenzo-p-dioxin",mobley_1469079,-3.56,0.02,-3.56,1.00,-11.055506504002901,0.44457090110876135,-2.1424329573197074,0.5574468619591759
nonan-2-one,mobley_1502181,-2.49,0.03,-2.49,0.60,-6.520527632836872,0.46800983445458383,-6.533689726586416,0.45235318229837607
4-methylpyridine,mobley_1520842,-4.93,0.02,-4.93,0.60,6.216575971509785,0.3202473281468063,-4.498477921844753,0.33762500449796634
flurbiprofen,mobley_1527293,-8.42,0.07,-8.42,0.16,-36.5414801384034,0.784766805103651,-39.72353669479111,1.5261606887204775
butane-1-thiol,mobley_1563176,-0.99,0.02,-0.99,0.60,-2.214340789738184,0.31633923256889507,-0.05168015403405457,0.35999652536690613
"2,3-dimethylphenol",mobley_1571523,-6.16,0.03,-6.16,0.60,-14.060293726738461,0.38592404470873903,-10.425629937295263,0.42009339027528425
ethyl hexanoate,mobley_1592519,-2.23,0.04,-2.23,0.60,-13.351238277115066,0.3965840365088736,-5.7307109707482935,0.4632982221992729
2-isopropoxypropane,mobley_1615431,-0.53,0.02,-0.53,0.60,2.4503612510971466,0.3784343365748417,-4.068423022026783,0.38431122502373083
methanol,mobley_1636752,-5.10,0.01,-5.10,0.60,-3.29844831711207,0.27221303828133087,-1.6593292107426758,0.25575111561732333
2-methylpropan-2-ol,mobley_1650157,-4.47,0.02,-4.47,0.60,14.375604753495011,0.36050424863675123,4.985053171204622,0.4197657959324123
but-1-ene,mobley_1662128,1.38,0.02,1.38,0.60,2.8405479416006423,0.2394094329599738,4.802571865669195,0.27523181128173846
hex-1-yne,mobley_1674094,0.29,0.02,0.29,0.60,0.1886756731526784,0.3199896944379525,1.9163529683517924,0.38018107372466226
methylsulfonylmethane,mobley_1708457,-10.08,0.03,-10.08,0.60,2.7441908792614145,0.4305722454420477,-2.073769453896301,0.3956497614117431
methyl formate,mobley_1717215,-2.78,0.02,-2.78,0.60,-13.145282791880586,0.31908992946127557,-7.635057657639812,0.26153626868460533
ethyl butanoate,mobley_1722522,-2.49,0.02,-2.49,0.60,-16.188810219786728,0.47381480326844605,-14.473342066325976,0.5182334370559344
octafluorocyclobutane,mobley_1723043,3.43,0.04,3.43,0.03,-5.320628393552983,0.31450591842232367,-18.042245877768362,0.368476380447602
benzamide,mobley_1728386,-11.00,0.10,-11.00,0.20,-38.656395001869434,0.7047237775582231,-37.788966490627374,0.5149710719526596
dibenzo-p-dioxin,mobley_172879,-3.15,0.02,-3.15,0.10,-19.96841167635937,0.4591606049759567,-4.13765550704226,0.517593290698648
4-bromophenol,mobley_1733799,-5.85,0.02,-5.85,0.83,-0.27155386494254063,0.46156425118604405,-1.9084951932798155,0.4124202730549108
hexanoic acid,mobley_1735893,-6.21,0.03,-6.21,0.60,-10.630098183213189,0.49880818455531795,-10.562633352184399,0.4466727201882425
diethyl butanedioate,mobley_1743409,-5.71,0.04,-5.71,0.60,-35.69200205507911,0.9160673822698988,-13.50904814513014,17.85530090784968
1-chloro-2-methyl-benzene,mobley_1760914,-1.14,0.02,-1.14,0.60,-4.888040015660131,0.3475369201535668,0.6042079767561526,0.42606007152284764
"methyl 2,2-dimethylpropanoate",mobley_1781152,-2.40,0.02,-2.40,0.60,-39.24384313981203,0.3827355607242511,-11.214885612671502,0.6398652367783884
"1,2-dibromoethane",mobley_1792062,-2.33,0.02,-2.33,0.60,-0.8560974362071193,0.2756240177886748,2.554060869151283,0.36344689657571333
ethanethiol,mobley_1800170,-1.14,0.02,-1.14,0.60,2.5411072611490355,0.26691133753722485,2.1075171204539362,0.307652639776041
isopentane,mobley_1803862,2.38,0.02,2.38,0.60,3.6849482337606667,0.3435514465594682,2.730137571997849,0.363330873257653
3-methyl-1H-indole,mobley_1821184,-5.88,0.03,-5.88,0.60,-14.936303841940884,0.4343855214434662,-10.854685638804852,0.4561305617807799
hexanal,mobley_1827204,-2.81,0.02,-2.81,0.60,-2.9410303711487917,0.36189024136969106,-4.655097490453722,0.44685419539815163
"1,1,2-trichloro-1,2,2-trifluoro-ethane",mobley_1838110,1.77,0.02,1.77,0.60,0.4073422661477981,0.3449447670166969,1.8922754313183088,0.3278715573326673
"1,2,3,5-tetrachlorobenzene",mobley_1855337,-1.62,0.02,-1.62,0.60,0.22387416330232135,0.33190526897421513,-0.9478530414833632,0.37745192070763367
"1,2-dichloroethane",mobley_1857976,-1.79,0.02,-1.79,0.60,-0.29758346220960336,0.25764912480597313,-0.10237325762524963,0.3072123165711365
2-phenylethanol,mobley_1858644,-6.79,0.03,-6.79,0.60,-0.018821729284989708,0.4818656470602726,-8.819513356768976,0.5107983296897546
propanethiol,mobley_186894,-1.10,0.10,-1.10,0.20,0.612828470254791,0.27131629344109465,1.699160038756041,0.34059441349013037
toluene,mobley_1873346,-0.90,0.10,-0.90,0.20,-0.8232384193841211,0.29473528050545605,-0.6710434294001213,0.3469091388729765
pentan-3-one,mobley_1875719,-3.41,0.10,-3.41,0.20,-14.63882471889469,0.3529198766778438,-5.46649902526948,0.3428316337923549
pentan-2-one,mobley_1881249,-3.52,0.02,-3.52,0.60,-7.459698002712277,0.3774316295354988,-5.988192845004127,0.36679816451768404
"1,1,1,2-tetrachloroethane",mobley_1893815,-1.43,0.02,-1.43,0.10,-1.8488988177033554,0.31791979539609455,1.6825510731914877,0.33093990749500685
1-chlorohexane,mobley_1893937,0.00,0.03,0.00,0.60,-1.6461350340269143,0.2749630711276349,3.8400663578048135,0.42509560740860275
