molecula,nom,smiles,fallida_pbc,fallida_sbc,fallida_qualsevol,fallida_comuna_pbc_sbc,pes_molecular,atoms_pesants,anells,anells_aromatics,atoms_aromatics,heteroatoms,halogens,donadors_h,acceptors_h,tpsa,enllacos_rotables,logp,es_aromatica,es_halogenada,gran_pes_molecular_gt_200,polar_tpsa_gt_60
mobley_1017962,methyl hexanoate,CCCCCC(=O)OC,False,False,False,False,130.18699999999998,9,0,0,0,2,0,0,2,26.3,4,1.7397,False,False,False,False
mobley_1019269,butan-1-ol,CCCCO,False,False,False,False,74.12299999999999,5,0,0,0,1,0,1,1,20.23,2,0.7787999999999999,False,False,False,False
mobley_1034539,"1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene",c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,False,False,False,False,360.88199999999995,18,2,2,12,6,6,0,0,0.0,1,7.274,True,True,True,False
mobley_1036761,cyclohexanamine,C1CCC(CC1)N,False,False,False,False,99.17700000000002,7,1,0,0,1,0,1,1,26.02,0,1.2778,False,False,False,False
mobley_1046331,phenyl formate,c1ccc(cc1)OC=O,False,False,False,False,122.12299999999996,9,1,1,6,2,0,0,2,26.3,2,1.2217999999999996,True,False,False,False
mobley_1075836,methyl propanoate,CCC(=O)OC,False,False,False,False,88.106,6,0,0,0,2,0,0,2,26.3,1,0.5694,False,False,False,False
mobley_1079207,"1,3-dichlorobenzene",c1cc(cc(c1)Cl)Cl,False,False,False,False,147.004,8,1,1,6,2,2,0,0,0.0,0,2.9934000000000003,True,True,False,False
mobley_1107178,iodoethane,CCI,False,False,False,False,155.966,3,0,0,0,1,1,0,0,0.0,0,1.4413,False,True,False,False
mobley_1139153,"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,True,False,True,False,114.23199999999999,8,0,0,0,0,0,0,0,0.0,1,3.0786000000000016,False,False,False,False
mobley_1144156,ethoxyethane,CCOCC,False,False,False,False,74.123,5,0,0,0,1,0,0,1,9.23,2,1.0428000000000002,False,False,False,False
mobley_1160109,"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C[C@@H]1CC[C@H](CC1=O)C(=C)C,False,False,False,False,152.23699999999997,11,1,0,0,1,0,0,1,17.07,1,2.567800000000001,False,False,False,False
mobley_1178614,2-chlorophenol,c1ccc(c(c1)O)Cl,False,False,False,False,128.558,8,1,1,6,2,1,1,1,20.23,0,2.0456,True,True,False,False
mobley_1189457,methylsulfanylbenzene,CSc1ccccc1,False,False,False,False,124.20799999999996,8,1,1,6,1,0,0,1,0.0,1,2.4085,True,False,False,False
mobley_1199854,1-iodopropane,CCCI,False,False,False,False,169.993,4,0,0,0,1,1,0,0,0.0,1,1.8314,False,True,False,False
mobley_1231151,2-chloropropane,CC(C)Cl,False,False,False,False,78.542,4,0,0,0,1,1,0,0,0.0,0,1.6336,False,True,False,False
mobley_1235151,1-nitropentane,CCCCC[N+](=O)[O-],False,False,False,False,117.148,8,0,0,0,3,0,0,2,43.14,4,1.4533,False,False,False,False
mobley_1244778,cycloheptanol,C1CCCC(CC1)O,False,False,False,False,114.18799999999999,8,1,0,0,1,0,1,1,20.23,0,1.7015,False,False,False,False
mobley_1261349,neopentane,CC(C)(C)C,False,False,False,False,72.151,5,0,0,0,0,0,0,0,0.0,0,2.0524,False,False,False,False
mobley_1278715,hexachloroethane,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,False,False,False,False,236.74,8,0,0,0,6,6,0,0,0.0,0,3.7268,False,True,True,False
mobley_129464,1-butoxybutane,CCCCOCCCC,False,False,False,False,130.231,9,0,0,0,1,0,0,1,9.23,6,2.603200000000001,False,False,False,False
mobley_1323538,triethylphosphate,CCOP(=O)(OCC)OCC,True,True,True,True,182.15599999999998,11,0,0,0,5,0,0,4,44.760000000000005,6,2.2039999999999997,False,False,False,False
mobley_1328465,"1,1,2-trichloroethane",C(C(Cl)Cl)Cl,False,False,False,False,133.405,5,0,0,0,3,3,0,0,0.0,1,2.0289,False,True,False,False
mobley_1328936,methyl 4-nitrobenzoate,COC(=O)c1ccc(cc1)[N+](=O)[O-],False,False,False,False,181.147,13,1,1,6,5,0,0,4,69.44,2,1.3814,True,False,False,True
mobley_1352110,pebulate,CCCCN(CC)C(=O)SCCC,False,False,False,False,203.35099999999997,13,0,0,0,3,0,0,2,20.310000000000002,6,3.3716000000000026,False,False,True,False
mobley_1363784,"3,5-dimethylpyridine",Cc1cc(cnc1)C,False,False,False,False,107.15599999999999,8,1,1,6,1,0,0,1,12.89,0,1.69844,True,False,False,False
mobley_1396156,pentachloronitrobenzene,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,False,False,False,False,295.336,14,1,1,6,8,5,0,2,43.14,1,4.8618,True,True,True,False
mobley_1417007,captan,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,False,False,False,False,300.59399999999994,16,2,0,0,7,3,0,3,37.38,1,2.9135000000000018,False,True,True,False
mobley_1424265,m-xylene,Cc1cccc(c1)C,False,False,False,False,106.16799999999999,8,1,1,6,0,0,0,0,0.0,0,2.30344,True,False,False,False
mobley_1449384,1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,False,False,False,False,134.22199999999998,10,1,1,6,0,0,0,0,0.0,1,3.118420000000002,True,False,False,False
mobley_1469079,"2,3-dichlorodibenzo-p-dioxin",c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,False,False,False,False,253.08399999999997,16,3,2,12,4,2,0,2,18.46,0,4.891400000000001,True,True,True,False
mobley_1502181,nonan-2-one,CCCCCCCC(=O)C,False,False,False,False,142.242,10,0,0,0,1,0,0,1,17.07,6,2.935900000000001,False,False,False,False
mobley_1520842,4-methylpyridine,Cc1ccncc1,False,False,False,False,93.12899999999999,7,1,1,6,1,0,0,1,12.89,0,1.39002,True,False,False,False
