molecula,nom iupac molec,metode,ampliacio,bibliografia_kcal_mol,incertesa_bibliografia_kcal_mol,deltaG_calculat_kcal_mol,incertesa_calculada_kcal_mol
mobley_1723043,octafluorocyclobutane,PBC,10,3.43,0.04,-5.982913658668707,0.29348866942646046
mobley_1723043,octafluorocyclobutane,SBC,10,3.43,0.04,-14.653468320250797,0.3794001982910306
mobley_1723043,octafluorocyclobutane,PBC,30,3.43,0.04,-4.53217715147791,0.3244329126567234
mobley_1723043,octafluorocyclobutane,SBC,30,3.43,0.04,-16.33116092184198,0.3181368464518993
mobley_1723043,octafluorocyclobutane,PBC,50,3.43,0.04,-5.5549537762597865,0.2754042930700697
mobley_1723043,octafluorocyclobutane,SBC,50,3.43,0.04,-15.283836147566392,0.2961669012511398
mobley_1723043,octafluorocyclobutane,PBC,150,3.43,0.04,-4.974547122078029,0.2230322373034361
mobley_1723043,octafluorocyclobutane,SBC,150,3.43,0.04,-14.822301450381119,0.263223637339722
mobley_1893937,1-chlorohexane,PBC,10,0.0,0.03,1.2934530866496439,0.3531580751189172
mobley_1893937,1-chlorohexane,SBC,10,0.0,0.03,1.0534006548664792,0.30637354346031676
mobley_1893937,1-chlorohexane,PBC,30,0.0,0.03,-1.707692351895013,0.28856619430156044
mobley_1893937,1-chlorohexane,SBC,30,0.0,0.03,2.8385457172604376,0.3577956740392271
mobley_1893937,1-chlorohexane,PBC,50,0.0,0.03,-0.8496310849716303,0.2775127645257427
mobley_1893937,1-chlorohexane,SBC,50,0.0,0.03,4.248422070679328,0.37429573585805015
mobley_1893937,1-chlorohexane,PBC,150,0.0,0.03,-0.4546319089750681,0.21942115367305706
mobley_1893937,1-chlorohexane,SBC,150,0.0,0.03,3.7811477403598857,0.23886933942250796
mobley_9534740,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",PBC,10,-25.47,0.09,-26.159788215739383,2.147559879691639
mobley_9534740,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",PBC,30,-25.47,0.09,-26.416169154431756,1.4330289709208337
mobley_9534740,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",SBC,30,-25.47,0.09,30.532655616294022,1.9597312785259207
mobley_9534740,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",SBC,50,-25.47,0.09,22.601379257139314,0.8707384126028859
