molecula,nom iupac molec,metode,ampliacio_percent,bibliografia_kcal_mol,incertesa_bibliografia_kcal_mol,deltaG_simulacio_kcal_mol,incertesa_simulacio_kcal_mol,error_vs_bibliografia_kcal_mol
mobley_1723043,octafluorocyclobutane,PBC,10,3.43,0.04,-5.982913658668707,0.29348866942646046,-9.412913658668707
mobley_1723043,octafluorocyclobutane,SBC,10,3.43,0.04,-14.653468320250797,0.3794001982910306,-18.083468320250798
mobley_1723043,octafluorocyclobutane,PBC,30,3.43,0.04,-4.53217715147791,0.3244329126567234,-7.96217715147791
mobley_1723043,octafluorocyclobutane,SBC,30,3.43,0.04,-16.33116092184198,0.3181368464518993,-19.76116092184198
mobley_1723043,octafluorocyclobutane,PBC,50,3.43,0.04,-5.5549537762597865,0.2754042930700697,-8.984953776259786
mobley_1723043,octafluorocyclobutane,SBC,50,3.43,0.04,-15.283836147566392,0.2961669012511398,-18.713836147566393
mobley_1723043,octafluorocyclobutane,PBC,150,3.43,0.04,-4.974547122078029,0.2230322373034361,-8.404547122078029
mobley_1723043,octafluorocyclobutane,SBC,150,3.43,0.04,-14.822301450381119,0.263223637339722,-18.25230145038112
mobley_1893937,1-chlorohexane,PBC,10,0.0,0.03,1.2934530866496439,0.3531580751189172,1.2934530866496439
mobley_1893937,1-chlorohexane,SBC,10,0.0,0.03,1.0534006548664792,0.30637354346031676,1.0534006548664792
mobley_1893937,1-chlorohexane,PBC,30,0.0,0.03,-1.707692351895013,0.28856619430156044,-1.707692351895013
mobley_1893937,1-chlorohexane,SBC,30,0.0,0.03,2.8385457172604376,0.3577956740392271,2.8385457172604376
mobley_1893937,1-chlorohexane,PBC,50,0.0,0.03,-0.8496310849716303,0.2775127645257427,-0.8496310849716303
mobley_1893937,1-chlorohexane,SBC,50,0.0,0.03,4.248422070679328,0.37429573585805015,4.248422070679328
mobley_1893937,1-chlorohexane,PBC,150,0.0,0.03,-0.4546319089750681,0.21942115367305706,-0.4546319089750681
mobley_1893937,1-chlorohexane,SBC,150,0.0,0.03,3.7811477403598857,0.23886933942250796,3.7811477403598857
